VCD info: dumpfile test.vcd opened for output.
                   0Starting simulation
                 290testSW = 0000011101, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 300testSW = 0000011110, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 310testSW = 0000011111, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 320testSW = 0000100000, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 330testSW = 0000100001, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 340testSW = 0000100010, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 350testSW = 0000100011, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 360testSW = 0000100100, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 370testSW = 0000100101, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
                 380testSW = 0000100110, testKEY = xx, testLED = xxxxxxxxxx, testHEX0 = 11111001, testHEX1 = 11000000, testHEX2 = 10110000, testHEX3 = 10100100, testHEX4 = 10000000, testHEX5 = 11000000
